p 	pl 	ppicture 	w 	wl 	wpicture
http://www.wikidata.org/entity/Q9960 	"Ronald Reagan"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Official Portrait of President Reagan 1981.jpg 	http://www.wikidata.org/entity/Q193426 	"Nancy Reagan"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Nancy Reagan.jpg
http://www.wikidata.org/entity/Q11813 	"James Madison"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/James Madison.jpg 	http://www.wikidata.org/entity/Q233638 	"Dolley Madison"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Dolley Madison.jpg
http://www.wikidata.org/entity/Q9960 	"Ronald Reagan"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Official Portrait of President Reagan 1981.jpg 	http://www.wikidata.org/entity/Q95055 	"Jane Wyman"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Promotional photograph of Jane Wyman.jpg
http://www.wikidata.org/entity/Q11812 	"Thomas Jefferson"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Thomas Jefferson by Rembrandt Peale 1805 cropped.jpg 	http://www.wikidata.org/entity/Q238001 	"Martha Jefferson"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Martha Jefferson Randolph cropped.jpg
http://www.wikidata.org/entity/Q33866 	"Theodore Roosevelt"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Theodore Roosevelt 1901-08.jpg 	http://www.wikidata.org/entity/Q2836599 	"Alice Hathaway Lee Roosevelt"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Alice Hathaway Roosevelt 1.jpg
http://www.wikidata.org/entity/Q11815 	"James Monroe"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/James Monroe 02.jpg 	http://www.wikidata.org/entity/Q233628 	"Elizabeth Monroe"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Elizabeth Monroe.jpg
http://www.wikidata.org/entity/Q33866 	"Theodore Roosevelt"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Theodore Roosevelt 1901-08.jpg 	http://www.wikidata.org/entity/Q237590 	"Edith Roosevelt"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Edith Kermit Carow Roosevelt 1900-1910.jpg
http://www.wikidata.org/entity/Q11869 	"William Henry Harrison"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/William Henry Harrison by James Reid Lambdin, 1835.jpg 	http://www.wikidata.org/entity/Q255190 	"Anna Harrison"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Anna Symmes Harrison.jpg
http://www.wikidata.org/entity/Q11816 	"John Quincy Adams"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/John Quincy Adams by GPA Healy, 1858.jpg 	http://www.wikidata.org/entity/Q233660 	"Louisa Adams"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Louisa Catherine Johnson Adams by Gilbert Stuart, 1821-26.jpg
http://www.wikidata.org/entity/Q11891 	"James K. Polk"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/JamesKnoxPolk.png 	http://www.wikidata.org/entity/Q234285 	"Sarah Childress Polk"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Polk sarah.jpg
http://www.wikidata.org/entity/Q11881 	"John Tyler"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/WHOportTyler.jpg 	http://www.wikidata.org/entity/Q234525 	"Julia Gardiner Tyler"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Julia Tyler.jpg
http://www.wikidata.org/entity/Q11820 	"Martin Van Buren"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Martin Van Buren.jpg 	http://www.wikidata.org/entity/Q255310 	"Hannah Van Buren"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Hannah van buren 2.jpg
http://www.wikidata.org/entity/Q11881 	"John Tyler"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/WHOportTyler.jpg 	http://www.wikidata.org/entity/Q24790 	"Letitia Christian Tyler"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Letitia Tyler.jpg
http://www.wikidata.org/entity/Q11817 	"Andrew Jackson"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Andrew jackson head.jpg 	http://www.wikidata.org/entity/Q238387 	"Rachel Jackson"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Rachel Donelson Jackson by Ralph E. W. Earl.jpg
http://www.wikidata.org/entity/Q11896 	"Zachary Taylor"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Zachary Taylor by Joseph Henry Bush, c1848.jpg 	http://www.wikidata.org/entity/Q234302 	"Margaret Taylor"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Margaret Taylor Daguerreotype.jpg
http://www.wikidata.org/entity/Q91 	"Abraham Lincoln"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Abraham Lincoln November 1863.jpg 	http://www.wikidata.org/entity/Q215062 	"Mary Todd Lincoln"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Mary Todd Lincoln2crop.jpg
http://www.wikidata.org/entity/Q8007 	"Franklin Delano Roosevelt"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Froosevelt.jpeg 	http://www.wikidata.org/entity/Q83396 	"Eleanor Roosevelt"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Eleanor Roosevelt at United Nations in Paris - NARA - 195965.jpg
http://www.wikidata.org/entity/Q23 	"George Washington"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Gilbert Stuart Williamstown Portrait of George Washington.jpg 	http://www.wikidata.org/entity/Q191789 	"Martha Washington"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Martha Washington.jpg
http://www.wikidata.org/entity/Q11806 	"John Adams"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/JohnAdams 2nd US President.jpg 	http://www.wikidata.org/entity/Q206191 	"Abigail Adams"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Abigail Adams.jpg
http://www.wikidata.org/entity/Q36023 	"Calvin Coolidge"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Calvin Coolidge photo portrait head and shoulders.jpg 	http://www.wikidata.org/entity/Q234287 	"Grace Coolidge"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Grace Coolidge.png
http://www.wikidata.org/entity/Q1124 	"Bill Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Bill Clinton.jpg 	http://www.wikidata.org/entity/Q6294 	"Hillary Rodham Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/HRC in Iowa APR 2015.jpg
http://www.wikidata.org/entity/Q1124 	"Bill Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Bill Clinton.jpg 	http://www.wikidata.org/entity/Q6294 	"Hillary Rodham Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/2009 0123 clinton bio 200 1.jpg
http://www.wikidata.org/entity/Q1124 	"Bill Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Bill Clinton.jpg 	http://www.wikidata.org/entity/Q6294 	"Hillary Rodham Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/HillaryClinton2004MarchWomensLives.jpg
http://www.wikidata.org/entity/Q1124 	"Bill Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Bill Clinton.jpg 	http://www.wikidata.org/entity/Q6294 	"Hillary Rodham Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Hillary Clinton 1992.jpg
http://www.wikidata.org/entity/Q1124 	"Bill Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Bill Clinton.jpg 	http://www.wikidata.org/entity/Q6294 	"Hillary Rodham Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Hrcofficial.jpg
http://www.wikidata.org/entity/Q1124 	"Bill Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Bill Clinton.jpg 	http://www.wikidata.org/entity/Q6294 	"Hillary Rodham Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Secretary Clinton 8x10 2400 1.jpg
http://www.wikidata.org/entity/Q1124 	"Bill Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Bill Clinton.jpg 	http://www.wikidata.org/entity/Q6294 	"Hillary Rodham Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/HillaryPA.jpg
http://www.wikidata.org/entity/Q1124 	"Bill Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Bill Clinton.jpg 	http://www.wikidata.org/entity/Q6294 	"Hillary Rodham Clinton"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/2006 04 13 Chicago Speech.jpg
http://www.wikidata.org/entity/Q35648 	"William Howard Taft"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/WmHTaft.jpg 	http://www.wikidata.org/entity/Q255115 	"Helen Herron Taft"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Helen Herron Taft cph.3a02670.jpg
http://www.wikidata.org/entity/Q207 	"George W. Bush"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/George-W-Bush.jpeg 	http://www.wikidata.org/entity/Q152019 	"Laura Bush"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Laura Bush portrait.jpg
http://www.wikidata.org/entity/Q35041 	"William McKinley"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Mckinley.jpg 	http://www.wikidata.org/entity/Q238397 	"Ida Saxton McKinley"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/ISMcKinley.jpg
