politician 	cause 	politician_label 	cause_of_death_label
http://www.wikidata.org/entity/Q45439 	http://www.wikidata.org/entity/Q12078 	"Seth Bullock"@en 	"cancer"@en
http://www.wikidata.org/entity/Q520004 	http://www.wikidata.org/entity/Q12078 	"Jacqueline Chevé"@en 	"cancer"@en
http://www.wikidata.org/entity/Q1382012 	http://www.wikidata.org/entity/Q12078 	"Yuri Stern"@en 	"cancer"@en
http://www.wikidata.org/entity/Q862109 	http://www.wikidata.org/entity/Q12078 	"Bill Frenzel"@en 	"cancer"@en
http://www.wikidata.org/entity/Q107130 	http://www.wikidata.org/entity/Q12078 	"Rajesh Khanna"@en 	"cancer"@en
http://www.wikidata.org/entity/Q313711 	http://www.wikidata.org/entity/Q12078 	"Canaan Banana"@en 	"cancer"@en
http://www.wikidata.org/entity/Q3524349 	http://www.wikidata.org/entity/Q12078 	"Thierry Jean-Pierre"@en 	"cancer"@en
http://www.wikidata.org/entity/Q713790 	http://www.wikidata.org/entity/Q12078 	"Mansoor Hekmat"@en 	"cancer"@en
http://www.wikidata.org/entity/Q1526791 	http://www.wikidata.org/entity/Q12078 	"Peter Camejo"@en 	"cancer"@en
http://www.wikidata.org/entity/Q962466 	http://www.wikidata.org/entity/Q12078 	"Henri Cuq"@en 	"cancer"@en
http://www.wikidata.org/entity/Q2748101 	http://www.wikidata.org/entity/Q12078 	"Carel Boshoff"@en 	"cancer"@en
http://www.wikidata.org/entity/Q2847444 	http://www.wikidata.org/entity/Q12078 	"André Caron"@en 	"cancer"@en
http://www.wikidata.org/entity/Q3093628 	http://www.wikidata.org/entity/Q12078 	"Gabriel Biancheri"@en 	"cancer"@en
http://www.wikidata.org/entity/Q16266689 	http://www.wikidata.org/entity/Q12078 	"Marc Simoneau"@en 	"cancer"@en
http://www.wikidata.org/entity/Q3090082 	http://www.wikidata.org/entity/Q12078 	"James Goldsmith"@en 	"cancer"@en
http://www.wikidata.org/entity/Q60145 	http://www.wikidata.org/entity/Q12078 	"Richard Walther Darré"@en 	"cancer"@en
http://www.wikidata.org/entity/Q188783 	http://www.wikidata.org/entity/Q12078 	"Moshe Dayan"@en 	"cancer"@en
http://www.wikidata.org/entity/Q7114540 	http://www.wikidata.org/entity/Q12078 	"Owen Lanyon"@en 	"cancer"@en
http://www.wikidata.org/entity/Q16745607 	http://www.wikidata.org/entity/Q12078 	"Pinit Chansomboon"@en 	"cancer"@en
http://www.wikidata.org/entity/Q18548478 	http://www.wikidata.org/entity/Q12078 	"Culiță Tărâță"@en 	"cancer"@en
http://www.wikidata.org/entity/Q118272 	http://www.wikidata.org/entity/Q12078 	"Elias Hrawi"@en 	"cancer"@en
http://www.wikidata.org/entity/Q8440 	http://www.wikidata.org/entity/Q12078 	"Hugo Chávez"@en 	"cancer"@en
http://www.wikidata.org/entity/Q214407 	http://www.wikidata.org/entity/Q12078 	"Félix Houphouët-Boigny"@en 	"cancer"@en
