Q335312 P19 Q3130 P17 ?x4
Q8005487 P1343 Q15987216 P248 ?x4
Q6238997 P39 Q20602711 P1366 ?x4
Q7514223 P39 Q7014100 P1366 ?x4
Q10702688 P171 Q387893 P678 ?x4
Q15245258 P31 Q17362920 P460 ?x4
Q18972947 P1057 Q18967861 P1343 ?x4
Q3526432 P39 Q3044918 P642 ?x4
Q680257 P289 Q2037933 P794 ?x4
Q313700 P97 Q21916441 P156 ?x4
Q923346 P121 Q182027 P805 ?x4
Q218567 P161 Q275964 P453 ?x4
Q18296988 P684 Q18031047 P703 ?x4
Q18250343 P684 Q18041749 P703 ?x4
Q20635247 P186 Q4259259 P518 ?x4
Q270993 P31 Q34876 P642 ?x4
Q18761241 P360 Q5 P20 ?x4
Q373968 P1411 Q106291 P1686 ?x4
Q5545629 P39 Q19848507 P1365 ?x4
Q18266666 P684 Q18048021 P703 ?x4
Q219943 P31 Q501390 P642 ?x4
Q1137103 P81 Q11258424 P137 ?x4
Q18031426 P684 Q18254434 P703 ?x4
Q1320 P39 Q466956 P1365 ?x4
Q12961 P39 Q3044918 P768 ?x4
Q217546 P1029 Q240701 P39 ?x4
Q15069689 P19 Q1899 P17 ?x4
Q14549164 P360 Q2065736 P131 ?x4
Q14865236 P684 Q14865237 P703 ?x4
Q1976461 P1343 Q15987216 P248 ?x4
Q4526202 P20 Q269 P131 ?x4
Q17423642 P1343 Q15987216 P248 ?x4
Q242982 P793 Q34581 P21 ?x4
Q1269997 P39 Q17004820 P1366 ?x4
Q18971785 P1057 Q18967858 P1343 ?x4
Q18034603 P684 Q18270174 P703 ?x4
Q42047 P166 Q106291 P805 ?x4
Q3168813 P106 Q2251335 P642 ?x4
Q40548 P361 Q240357 P156 ?x4
Q4262397 P462 Q23444 P518 ?x4
Q10620588 P9 Q16603480 P1039 ?x4
Q21668237 P2079 Q843958 P518 ?x4
Q18846357 P816 Q18845994 P817 ?x4
Q18258283 P684 Q18037030 P703 ?x4
Q6041110 P69 Q49117 P512 ?x4
Q1226190 P39 Q1225095 P1366 ?x4
Q800921 P197 Q801234 P81 ?x4
