Overall time BD (ms)	Overall time SO (ms)	Time first output SO (ms)	number of tuples	Exceptions
N/A	0.06618	N/A	125	OK
N/A	0.10595	N/A	5	OK
N/A	13.749661	N/A	1032	OK
N/A	4.12149	N/A	8	OK
N/A	0.035591	N/A	2	OK
N/A	0.52145	N/A	3	OK
N/A	45.605451	N/A	812	OK
N/A	0.002897	N/A	6	OK
N/A	60	N/A	0	timed out
N/A	7.927456	N/A	1233	OK
N/A	1.818559	N/A	132	OK
N/A	0.014441	N/A	838	OK
N/A	8.551765	N/A	113891	OK
N/A	28.704059	N/A	2238214	OK
N/A	32.655648	N/A	2041082	OK
N/A	7.262845	N/A	2372465	OK
N/A	2.156498	N/A	17	OK
N/A	1.844747	N/A	5	OK
N/A	8.683068	N/A	21	OK
N/A	0.129821	N/A	3	OK
N/A	0.575737	N/A	213	OK
N/A	1.437814	N/A	1	OK
N/A	0.068406	N/A	17467	OK
N/A	0.025023	N/A	8	OK
N/A	34.244521	N/A	1065551	OK
N/A	0.028625	N/A	1	OK
N/A	0.148134	N/A	169	OK
N/A	4.113598	N/A	297	OK
N/A	35.201056	N/A	2376177	OK
N/A	26.018551	N/A	1936116	OK
N/A	2.242395	N/A	4	OK
N/A	5.130741	N/A	3630	OK
N/A	29.897407	N/A	2140	OK
N/A	0.084773	N/A	2	OK
N/A	3.281911	N/A	91	OK
N/A	1.23276	N/A	392131	OK
N/A	0.02353	N/A	5625	OK
N/A	1.709913	N/A	17	OK
N/A	8.721756	N/A	245306	OK
N/A	1.862245	N/A	1	OK
N/A	0.030882	N/A	10	OK
N/A	0.007416	N/A	78	OK
N/A	1.009777	N/A	99	OK
N/A	38.475094	N/A	12711	OK
N/A	29.702813	N/A	138736	OK
N/A	58.005344	N/A	1497797	OK
N/A	31.119065	N/A	16350276	OK
N/A	0.104315	N/A	1	OK
N/A	19.71381	N/A	15205132	OK
N/A	0.024145	N/A	1552	OK
N/A	0.012103	N/A	232	OK
N/A	15.609006	N/A	14002	OK
N/A	7.106496	N/A	74250	OK
N/A	0.831723	N/A	622402	OK
N/A	58.608892	N/A	893256	OK
N/A	47.055029	N/A	2152281	OK
N/A	60	N/A	0	timed out
N/A	0.055343	N/A	3	OK
N/A	3.972813	N/A	15212	OK
N/A	11.311043	N/A	118292	OK
N/A	8.627039	N/A	7050	OK
N/A	18.670719	N/A	69	OK
N/A	0.076838	N/A	1	OK
N/A	60	N/A	0	timed out
N/A	60	N/A	0	timed out
N/A	7.032774	N/A	1	OK
N/A	10.316718	N/A	3246	OK
N/A	0.17372	N/A	35	OK
N/A	0.122018	N/A	70	OK
N/A	3.870193	N/A	1	OK
N/A	6.289246	N/A	2224092	OK
N/A	60	N/A	0	timed out
N/A	33.346742	N/A	2288808	OK
N/A	0.044889	N/A	4	OK
N/A	18.422889	N/A	29958	OK
N/A	41.899175	N/A	165953	OK
N/A	13.662268	N/A	34213	OK
N/A	0.048321	N/A	3	OK
N/A	2.918818	N/A	395	OK
N/A	1.88313	N/A	396624	OK
N/A	1.087357	N/A	95	OK
N/A	0.146743	N/A	8	OK
N/A	2.415252	N/A	629	OK
N/A	5.727605	N/A	1	OK
N/A	5.65945	N/A	2224092	OK
N/A	0.044944	N/A	1	OK
N/A	2.274545	N/A	3156	OK
N/A	12.040405	N/A	33053	OK
N/A	0.400616	N/A	1	OK
N/A	1.127046	N/A	2	OK
N/A	21.579595	N/A	63320	OK
N/A	0.086655	N/A	116	OK
N/A	0.101993	N/A	1	OK
N/A	4.98776	N/A	5262	OK
N/A	23.861465	N/A	64	OK
N/A	6.77613	N/A	10773	OK
N/A	0.554607	N/A	161161	OK
N/A	1.299533	N/A	1067	OK
N/A	25.235824	N/A	39126	OK
N/A	0.415115	N/A	225253	OK
N/A	34.921656	N/A	25972	OK
N/A	0.044297	N/A	1	OK
N/A	60	N/A	0	timed out
N/A	0.410653	N/A	1422	OK
