Overall time BD (ms)	Overall time SO (ms)	Time first output SO (ms)	number of tuples	Exceptions
N/A	4.084	N/A	8	none
N/A	12.471	N/A	51	none
N/A	1.115	N/A	47	none
N/A	0.9578	N/A	8	none
N/A	11.401	N/A	33	none
N/A	0.9285	N/A	3	none
N/A	12.694	N/A	51	none
N/A	0.943	N/A	5	none
N/A	10.631	N/A	21	none
N/A	0.9141	N/A	1	none
N/A	1.0	N/A	11	none
N/A	0.929	N/A	4	none
N/A	12.268	N/A	42	none
N/A	0.9101	N/A	4	none
N/A	0.9256	N/A	4	none
N/A	10.558	N/A	21	none
N/A	10.336	N/A	20	none
N/A	0.9799	N/A	14	none
N/A	0.9808	N/A	17	none
N/A	0.9744	N/A	7	none
N/A	0.9674	N/A	8	none
N/A	0.9154	N/A	4	none
N/A	0.925	N/A	4	none
N/A	1.128	N/A	31	none
N/A	0.9819	N/A	13	none
N/A	15.333	N/A	93	none
N/A	0.957	N/A	6	none
N/A	10.575	N/A	20	none
N/A	0.9274	N/A	5	none
N/A	0.9553	N/A	7	none
N/A	0.9938	N/A	8	none
N/A	0.9452	N/A	8	none
N/A	13.757	N/A	83	none
N/A	10.147	N/A	20	none
N/A	1.17	N/A	48	none
N/A	0.9391	N/A	1	none
N/A	1.163	N/A	37	none
N/A	0.9175	N/A	6	none
N/A	10.018	N/A	15	none
N/A	21.724	N/A	209	none
N/A	0.9933	N/A	17	none
N/A	10.889	N/A	31	none
N/A	0.9555	N/A	5	none
N/A	0.9331	N/A	8	none
N/A	0.942	N/A	4	none
N/A	10.034	N/A	12	none
N/A	10.412	N/A	24	none
N/A	10.825	N/A	33	none
N/A	11.823	N/A	42	none
N/A	0.9686	N/A	8	none
N/A	11.518	N/A	41	none
N/A	0.9005	N/A	1	none
N/A	0.9641	N/A	9	none
N/A	10.284	N/A	9	none
N/A	13.293	N/A	76	none
N/A	10.889	N/A	26	none
N/A	1.173	N/A	34	none
N/A	10.197	N/A	17	none
N/A	10.805	N/A	28	none
N/A	10.529	N/A	15	none
N/A	10.056	N/A	19	none
N/A	10.523	N/A	25	none
N/A	12.201	N/A	54	none
N/A	10.358	N/A	15	none
N/A	0.9995	N/A	16	none
N/A	0.9606	N/A	9	none
N/A	0.9962	N/A	15	none
N/A	10.034	N/A	11	none
N/A	0.9753	N/A	13	none
N/A	0.9813	N/A	15	none
N/A	0.9498	N/A	7	none
N/A	0.9334	N/A	4	none
N/A	162.198	N/A	19	none
N/A	13.723	N/A	76	none
N/A	1.155	N/A	45	none
N/A	0.9484	N/A	6	none
N/A	0.974	N/A	9	none
N/A	10.142	N/A	25	none
N/A	11.808	N/A	31	none
N/A	0.9939	N/A	15	none
N/A	0.88	N/A	1	none
N/A	10.311	N/A	21	none
N/A	12.281	N/A	39	none
N/A	0.9057	N/A	5	none
N/A	1.101	N/A	28	none
N/A	0.9436	N/A	10	none
N/A	12.185	N/A	52	none
N/A	10.692	N/A	25	none
N/A	0.9498	N/A	8	none
N/A	0.9586	N/A	4	none
N/A	17.254	N/A	181	none
N/A	12.068	N/A	54	none
N/A	10.843	N/A	31	none
N/A	0.9396	N/A	5	none
N/A	0.9552	N/A	6	none
N/A	10.906	N/A	30	none
N/A	10.014	N/A	11	none
N/A	0.9558	N/A	8	none
N/A	0.949	N/A	10	none
N/A	0.9837	N/A	16	none
N/A	0.9961	N/A	18	none
N/A	10.289	N/A	17	none
N/A	0.933	N/A	9	none
N/A	1.134	N/A	27	none
N/A	0.9937	N/A	15	none
N/A	0.9754	N/A	12	none
N/A	10.785	N/A	23	none
N/A	11.178	N/A	26	none
N/A	10.743	N/A	25	none
N/A	0.9241	N/A	7	none
N/A	11.326	N/A	34	none
N/A	0.9147	N/A	6	none
N/A	10.795	N/A	23	none
N/A	10.219	N/A	20	none
N/A	10.616	N/A	22	none
N/A	0.9762	N/A	18	none
N/A	11.412	N/A	55	none
N/A	11.463	N/A	48	none
N/A	16.237	N/A	116	none
N/A	14.211	N/A	96	none
N/A	0.9265	N/A	10	none
N/A	11.059	N/A	48	none
N/A	0.9702	N/A	22	none
N/A	0.885	N/A	5	none
N/A	10.642	N/A	29	none
N/A	13.778	N/A	91	none
N/A	11.102	N/A	45	none
N/A	10.247	N/A	27	none
N/A	0.9465	N/A	17	none
N/A	0.9125	N/A	9	none
N/A	0.989	N/A	18	none
N/A	10.079	N/A	24	none
N/A	0.9654	N/A	17	none
N/A	0.8899	N/A	7	none
N/A	0.8811	N/A	5	none
N/A	0.9192	N/A	8	none
N/A	0.8895	N/A	5	none
N/A	13.209	N/A	108	none
N/A	0.9048	N/A	9	none
N/A	10.229	N/A	19	none
N/A	0.8878	N/A	2	none
N/A	16.953	N/A	262	none
N/A	0.8653	N/A	10	none
N/A	0.8695	N/A	6	none
N/A	0.9376	N/A	11	none
N/A	0.9379	N/A	12	none
N/A	14.358	N/A	93	none
N/A	11.967	N/A	59	none
N/A	0.8638	N/A	2	none
N/A	3.012	N/A	391	none
N/A	10.977	N/A	40	none
N/A	1.259	N/A	72	none
N/A	10.576	N/A	41	none
N/A	0.9593	N/A	19	none
N/A	0.9886	N/A	23	none
N/A	10.312	N/A	24	none
N/A	0.9025	N/A	8	none
N/A	0.9118	N/A	10	none
N/A	10.258	N/A	33	none
N/A	0.9315	N/A	14	none
N/A	0.8917	N/A	5	none
N/A	0.9567	N/A	20	none
N/A	0.9386	N/A	12	none
N/A	0.9462	N/A	9	none
N/A	0.9098	N/A	13	none
N/A	0.9495	N/A	17	none
N/A	0.8807	N/A	6	none
N/A	0.9053	N/A	5	none
N/A	0.8803	N/A	6	none
N/A	1.136	N/A	45	none
N/A	0.9557	N/A	19	none
N/A	0.9459	N/A	10	none
N/A	12.377	N/A	76	none
N/A	0.8993	N/A	12	none
N/A	1.012	N/A	27	none
N/A	10.684	N/A	37	none
N/A	0.9295	N/A	13	none
N/A	10.434	N/A	33	none
N/A	0.8973	N/A	2	none
N/A	0.8691	N/A	7	none
N/A	0.9069	N/A	9	none
N/A	0.9754	N/A	19	none
N/A	10.466	N/A	26	none
N/A	0.9719	N/A	11	none
N/A	1.188	N/A	59	none
N/A	0.908	N/A	9	none
N/A	10.039	N/A	18	none
N/A	0.9846	N/A	21	none
N/A	10.169	N/A	30	none
N/A	0.8917	N/A	6	none
N/A	0.9635	N/A	14	none
N/A	0.9554	N/A	19	none
N/A	0.876	N/A	4	none
N/A	0.921	N/A	12	none
N/A	1.036	N/A	26	none
N/A	0.9496	N/A	19	none
N/A	10.919	N/A	41	none
N/A	0.9682	N/A	20	none
N/A	11.063	N/A	44	none
N/A	10.715	N/A	35	none
N/A	11.124	N/A	52	none
N/A	10.053	N/A	19	none
N/A	0.8903	N/A	5	none
N/A	0.8778	N/A	3	none
N/A	12.868	N/A	54	none
N/A	0.9373	N/A	11	none
N/A	0.9358	N/A	8	none
N/A	0.9158	N/A	8	none
N/A	0.9737	N/A	29	none
N/A	0.9994	N/A	23	none
N/A	0.8937	N/A	9	none
N/A	10.095	N/A	27	none
N/A	0.8761	N/A	6	none
N/A	0.9523	N/A	11	none
N/A	0.9132	N/A	9	none
N/A	0.9673	N/A	18	none
N/A	0.8472	N/A	3	none
N/A	0.944	N/A	12	none
N/A	0.8626	N/A	3	none
N/A	0.8672	N/A	5	none
N/A	0.8974	N/A	12	none
N/A	0.9288	N/A	9	none
N/A	0.9733	N/A	23	none
N/A	0.9254	N/A	13	none
N/A	0.9209	N/A	10	none
N/A	0.9533	N/A	11	none
N/A	0.9467	N/A	14	none
N/A	10.126	N/A	28	none
N/A	0.894	N/A	8	none
N/A	11.231	N/A	40	none
N/A	0.9358	N/A	16	none
N/A	0.9227	N/A	11	none
N/A	10.909	N/A	37	none
N/A	0.9602	N/A	18	none
N/A	10.101	N/A	27	none
N/A	11.806	N/A	75	none
N/A	10.126	N/A	22	none
N/A	0.9111	N/A	10	none
N/A	111.652	N/A	20	none
N/A	0.9052	N/A	12	none
N/A	0.8866	N/A	7	none
N/A	10.463	N/A	32	none
N/A	0.9497	N/A	13	none
N/A	0.8607	N/A	4	none
N/A	12.214	N/A	65	none
N/A	0.9921	N/A	17	none
N/A	0.8813	N/A	4	none
N/A	0.9716	N/A	19	none
N/A	0.9514	N/A	18	none
N/A	0.9131	N/A	3	none
N/A	0.852	N/A	1	none
N/A	10.352	N/A	35	none
N/A	0.8857	N/A	9	none
N/A	0.9569	N/A	12	none
N/A	11.091	N/A	40	none
N/A	0.8663	N/A	5	none
N/A	0.8908	N/A	9	none
N/A	0.9616	N/A	13	none
N/A	0.9421	N/A	18	none
N/A	0.9643	N/A	20	none
N/A	11.598	N/A	52	none
N/A	10.083	N/A	24	none
N/A	0.9518	N/A	18	none
N/A	0.9191	N/A	11	none
N/A	0.9243	N/A	11	none
N/A	10.833	N/A	28	none
N/A	0.9683	N/A	15	none
N/A	0.9207	N/A	11	none
N/A	10.428	N/A	21	none
N/A	0.9318	N/A	12	none
N/A	0.9905	N/A	22	none
N/A	10.181	N/A	25	none
N/A	10.107	N/A	13	none
N/A	1.99	N/A	172	none
N/A	10.832	N/A	29	none
N/A	0.8641	N/A	7	none
N/A	0.9046	N/A	8	none
N/A	3.171	N/A	451	none
N/A	10.009	N/A	24	none
N/A	0.9422	N/A	9	none
N/A	131.189	N/A	10	none
N/A	11.041	N/A	42	none
N/A	0.9421	N/A	10	none
N/A	0.9129	N/A	16	none
N/A	0.9048	N/A	6	none
N/A	0.8794	N/A	6	none
N/A	0.9622	N/A	14	none
N/A	0.979	N/A	20	none
N/A	10.584	N/A	41	none
N/A	0.97	N/A	22	none
N/A	0.9697	N/A	17	none
N/A	10.599	N/A	41	none
N/A	1.095	N/A	49	none
N/A	0.8936	N/A	8	none
N/A	0.9178	N/A	9	none
N/A	0.9372	N/A	18	none
N/A	0.8716	N/A	4	none
N/A	0.8794	N/A	7	none
N/A	0.9738	N/A	16	none
N/A	0.9183	N/A	12	none
N/A	0.8619	N/A	4	none
N/A	0.8991	N/A	9	none
N/A	10.455	N/A	24	none
N/A	0.9313	N/A	16	none
N/A	0.8706	N/A	4	none
N/A	10.554	N/A	32	none
N/A	0.9223	N/A	9	none
N/A	0.9382	N/A	15	none
N/A	10.729	N/A	45	none
N/A	0.8619	N/A	5	none
N/A	0.9942	N/A	21	none
N/A	10.253	N/A	30	none
N/A	0.8985	N/A	9	none
N/A	0.9373	N/A	14	none
N/A	0.9042	N/A	5	none
